Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190646:2486,14:14,HLT_Photon150_v1,L1_SingleEG30,1,1,5389.03819522,5389.03819522
190646:2486,15:15,HLT_Photon150_v1,L1_SingleEG30,1,1,5382.15034406,5382.15034406
190646:2486,16:16,HLT_Photon150_v1,L1_SingleEG30,1,1,5389.71690313,5389.71690313
190646:2486,17:17,HLT_Photon150_v1,L1_SingleEG30,1,1,5375.30437458,5375.30437458
190646:2486,18:18,HLT_Photon150_v1,L1_SingleEG30,1,1,4931.05038662,4931.05038662
190646:2486,19:19,HLT_Photon150_v1,L1_SingleEG30,1,1,5376.51674919,5376.51674919
190646:2486,20:20,HLT_Photon150_v1,L1_SingleEG30,1,1,5356.72174213,5356.72174213
190646:2486,21:21,HLT_Photon150_v1,L1_SingleEG30,1,1,5356.54742818,5356.54742818
190646:2486,22:22,HLT_Photon150_v1,L1_SingleEG30,1,1,5336.37312409,5336.37312409
190646:2486,23:23,HLT_Photon150_v1,L1_SingleEG30,1,1,5349.12051472,5349.12051472
190646:2486,24:24,HLT_Photon150_v1,L1_SingleEG30,1,1,5343.27574784,5343.27574784
190646:2486,25:25,HLT_Photon150_v1,L1_SingleEG30,1,1,5261.14492316,5261.14492316
190646:2486,26:26,HLT_Photon150_v1,L1_SingleEG30,1,1,5337.63591206,5337.63591206
190646:2486,27:27,HLT_Photon150_v1,L1_SingleEG30,1,1,5346.00110978,5346.00110978
190646:2486,28:28,HLT_Photon150_v1,L1_SingleEG30,1,1,4813.50288255,4813.50288255
190646:2486,29:29,HLT_Photon150_v1,L1_SingleEG30,1,1,4965.60484234,4965.60484234
190646:2486,30:30,HLT_Photon150_v1,L1_SingleEG30,1,1,5306.14233614,5306.14233614
190646:2486,31:31,HLT_Photon150_v1,L1_SingleEG30,1,1,4984.49544408,4984.49544408
190646:2486,32:32,HLT_Photon150_v1,L1_SingleEG30,1,1,5321.9460371,5321.9460371
190646:2486,33:33,HLT_Photon150_v1,L1_SingleEG30,1,1,5335.54238887,5335.54238887
190646:2486,34:34,HLT_Photon150_v1,L1_SingleEG30,1,1,5315.92717138,5315.92717138
190646:2486,35:35,HLT_Photon150_v1,L1_SingleEG30,1,1,5314.49707798,5314.49707798
190646:2486,36:36,HLT_Photon150_v1,L1_SingleEG30,1,1,5082.49281098,5082.49281098
190646:2486,37:37,HLT_Photon150_v1,L1_SingleEG30,1,1,5310.82838067,5310.82838067
190646:2486,38:38,HLT_Photon150_v1,L1_SingleEG30,1,1,5321.72258263,5321.72258263
190646:2486,39:39,HLT_Photon150_v1,L1_SingleEG30,1,1,5303.68002237,5303.68002237
190646:2486,40:40,HLT_Photon150_v1,L1_SingleEG30,1,1,5313.02081706,5313.02081706
190646:2486,41:41,HLT_Photon150_v1,L1_SingleEG30,1,1,5299.60191381,5299.60191381
190646:2486,42:42,HLT_Photon150_v1,L1_SingleEG30,1,1,5307.79950463,5307.79950463
190646:2486,43:43,HLT_Photon150_v1,L1_SingleEG30,1,1,5302.60006926,5302.60006926
190646:2486,44:44,HLT_Photon150_v1,L1_SingleEG30,1,1,5304.457324,5304.457324
190646:2486,45:45,HLT_Photon150_v1,L1_SingleEG30,1,1,5301.27953806,5301.27953806
