Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190646:2486,109:109,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5121.44692294,512.144692294
190646:2486,110:110,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5128.59909629,512.859909629
190646:2486,111:111,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5127.46743481,512.746743481
190659:2488,33:33,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,20064.4994351,143.317853108
190659:2488,34:34,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,21216.6469774,151.54747841
190659:2488,35:35,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,19288.9457255,137.778183754
190659:2488,36:36,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,21314.1162469,152.243687478
190659:2488,37:37,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,21236.2470466,151.687478904
190659:2488,38:38,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,21262.2518423,151.873227445
190659:2488,39:39,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,21162.0436851,151.157454893
190659:2488,40:40,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,20830.1421911,148.786729936
190659:2488,41:41,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,19762.0892405,141.157780289
190659:2488,42:42,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,140,1,18167.131716,129.765226543
